date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:59:56	91498/91498	---M-Z	200	added ('OK')	text/html	etag:%221656a-5f28fbb2-c7e1041bf420b957;gz%22	http://sun-themes.com/html/fooday/index.html	C:/Users/pc%20well/Desktop/test/sun-themes.com/html/fooday/index.html	(from )
15:59:56	950/950	---M-Z	200	added ('OK')	text/html	etag:%226273-1615001055;gz%22	http://sun-themes.com/robots.txt		(from )
15:59:57	121200/121200	---M-Z	200	added ('OK')	text/css	etag:%221d970-59b479c4-ab3718bcc913ef40;gz%22	http://sun-themes.com/html/fooday/assets/vendors/bootstrap/css/bootstrap.min.css	C:/Users/pc%20well/Desktop/test/sun-themes.com/html/fooday/assets/vendors/bootstrap/css/bootstrap.min.css	(from http://sun-themes.com/html/fooday/index.html)
15:59:57	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%227918-59b479c4-d8b458262baaef;gz%22	http://sun-themes.com/html/fooday/assets/vendors/font-awesome/css/font-awesome.min.css	C:/Users/pc%20well/Desktop/test/sun-themes.com/html/fooday/assets/vendors/font-awesome/css/font-awesome.min.css	(from http://sun-themes.com/html/fooday/index.html)
15:59:57	4294/4294	---M-Z	200	added ('OK')	text/css	etag:%2210c6-59b479c4-2897ed7ee0510f65;gz%22	http://sun-themes.com/html/fooday/assets/vendors/flexslider/flexslider.min.css	C:/Users/pc%20well/Desktop/test/sun-themes.com/html/fooday/assets/vendors/flexslider/flexslider.min.css	(from http://sun-themes.com/html/fooday/index.html)
15:59:58	4308/4308	---M-Z	200	added ('OK')	text/css	etag:%2210d4-5f28e888-225931d0d47f4b3e;gz%22	http://sun-themes.com/html/fooday/assets/vendors/swipebox/css/swipebox.min.css	C:/Users/pc%20well/Desktop/test/sun-themes.com/html/fooday/assets/vendors/swipebox/css/swipebox.min.css	(from http://sun-themes.com/html/fooday/index.html)
15:59:58	1249/1249	---M-Z	200	added ('OK')	text/css	etag:%224e1-59b479c4-5e1eba60c51d7243;gz%22	http://sun-themes.com/html/fooday/assets/vendors/slick/slick.min.css	C:/Users/pc%20well/Desktop/test/sun-themes.com/html/fooday/assets/vendors/slick/slick.min.css	(from http://sun-themes.com/html/fooday/index.html)
15:59:58	2302/2302	---M-Z	200	added ('OK')	text/css	etag:%228fe-59b479c4-e8ec16b17831bdbe;gz%22	http://sun-themes.com/html/fooday/assets/vendors/slick/slick-theme.min.css	C:/Users/pc%20well/Desktop/test/sun-themes.com/html/fooday/assets/vendors/slick/slick-theme.min.css	(from http://sun-themes.com/html/fooday/index.html)
15:59:59	55906/55906	---M-Z	200	added ('OK')	text/css	etag:%22da62-59b479c4-b0610dcebdc03292;gz%22	http://sun-themes.com/html/fooday/assets/vendors/animate.min.css	C:/Users/pc%20well/Desktop/test/sun-themes.com/html/fooday/assets/vendors/animate.min.css	(from http://sun-themes.com/html/fooday/index.html)
15:59:59	15737/15737	---M-Z	200	added ('OK')	text/css	etag:%223d79-5f28e888-94e02ac48dff1673;gz%22	http://sun-themes.com/html/fooday/assets/vendors/bootstrap-datepicker/css/bootstrap-datepicker.min.css	C:/Users/pc%20well/Desktop/test/sun-themes.com/html/fooday/assets/vendors/bootstrap-datepicker/css/bootstrap-datepicker.min.css	(from http://sun-themes.com/html/fooday/index.html)
15:59:59	1274/1274	---M-Z	200	added ('OK')	text/css	etag:%224fa-59b479c4-405304c478970481;gz%22	http://sun-themes.com/html/fooday/assets/vendors/pageloading/css/component.min.css	C:/Users/pc%20well/Desktop/test/sun-themes.com/html/fooday/assets/vendors/pageloading/css/component.min.css	(from http://sun-themes.com/html/fooday/index.html)
16:00:00	4198/4198	---M-Z	200	added ('OK')	text/css	etag:%221066-5f28fc4b-5da683c83decb04;gz%22	http://sun-themes.com/html/fooday/assets/vendors/dialog/css/dialog.css	C:/Users/pc%20well/Desktop/test/sun-themes.com/html/fooday/assets/vendors/dialog/css/dialog.css	(from http://sun-themes.com/html/fooday/index.html)
16:00:00	1594/1594	---M-Z	200	added ('OK')	text/css	etag:%2263a-59b479c4-69a1520a30154ecf;gz%22	http://sun-themes.com/html/fooday/assets/fonts/font-icon/style.css	C:/Users/pc%20well/Desktop/test/sun-themes.com/html/fooday/assets/fonts/font-icon/style.css	(from http://sun-themes.com/html/fooday/index.html)
16:00:00	42168/42168	---M-Z	200	added ('OK')	text/css	etag:%22a4b8-5f28fbed-a613f51e3a1aabc8;gz%22	http://sun-themes.com/html/fooday/assets/css/layout.css	C:/Users/pc%20well/Desktop/test/sun-themes.com/html/fooday/assets/css/layout.css	(from http://sun-themes.com/html/fooday/index.html)
